Jogador,Equipe,JO,Min,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,AS,ER,IA%,BR,B/E,Pts,3P,2P,LL,EF,RT,TO,DD,TD,ET,VI,RO,RD,FC,T/FC,Posicao,camisa
Mathias,Fortaleza B. C.,30,25.63,9.07,0.2,0.8,25.0,3.73,6.03,61.88,1.0,1.63,61.22,0.23,1.0,2.07,0.48,0.63,0.31,9.07,0.6,7.47,1.0,15.77,9.7,0.97,0.27,0.0,2.07,0.33,2.23,7.47,2.73,0.35,Pivô,#12
Deryk,Paulistano,33,25.92,8.94,1.3,4.76,27.39,2.12,4.0,53.03,0.79,1.18,66.67,0.0,4.12,2.21,1.86,1.06,0.48,8.94,3.91,4.24,0.79,9.21,3.0,0.03,0.0,0.0,2.21,0.03,0.7,2.3,1.24,0.02,Ala/Armador,#9
Fabricio,Mogi,35,26.16,8.91,1.66,4.63,35.8,1.46,3.29,44.35,1.03,1.37,75.0,0.0,1.86,0.89,2.1,0.54,0.61,8.91,4.97,2.91,1.03,9.6,4.17,0.14,0.03,0.0,0.89,0.09,1.06,3.11,2.29,0.06,Ala/Pivô,#10
Scheuer,Pato Basquete,32,23.94,8.88,0.47,1.59,29.41,2.75,4.94,55.7,1.97,2.91,67.74,0.59,0.84,1.16,0.73,0.66,0.57,8.88,1.41,5.5,1.97,11.09,5.69,0.44,0.09,0.0,1.16,0.19,1.88,3.81,2.28,0.19,Ala/Pivô,#14
Lucão,VipTech CMB,30,20.23,8.67,0.0,0.0,0.0,4.0,6.87,58.25,0.67,1.37,48.78,0.23,0.97,1.33,0.73,0.2,0.15,8.67,0.0,8.0,0.67,11.17,6.07,0.17,0.07,0.0,1.33,0.23,2.07,4.0,2.33,0.07,Pivô,#31
Arthur,Corinthians,28,22.72,8.64,0.96,2.36,40.91,2.14,4.68,45.8,1.46,1.75,83.67,0.0,1.29,1.25,1.03,0.89,0.71,8.64,2.89,4.29,1.46,11.14,5.54,0.25,0.11,0.0,1.25,0.07,1.43,4.11,2.0,0.13,Ala/Pivô,#36
Mineiro,Flamengo,30,24.38,8.63,1.0,3.1,32.26,2.3,3.93,58.47,1.03,1.67,62.0,0.37,1.87,1.07,1.75,0.8,0.75,8.63,3.0,4.6,1.03,10.63,4.4,0.37,0.0,0.0,1.07,0.1,1.13,3.27,1.67,0.22,Ala/Pivô,#12
G. Basílio,Pinheiros,27,23.0,8.59,1.44,4.15,34.82,1.56,3.74,41.58,1.15,1.44,79.49,0.0,2.04,1.19,1.72,1.0,0.84,8.59,4.33,3.11,1.15,7.3,2.0,0.04,0.0,0.0,1.19,0.26,0.15,1.85,2.44,0.02,Ala,#10
Shilton,KTO/Caxias do Sul,26,29.26,8.54,0.0,0.04,0.0,3.31,5.96,55.48,1.92,3.81,50.51,0.0,1.5,1.77,0.85,0.58,0.33,8.54,0.0,6.62,1.92,12.0,7.58,0.15,0.08,0.0,1.77,0.12,2.23,5.35,3.12,0.05,Pivô,#66
Jimmy,Paulistano,33,25.29,8.52,1.55,4.76,32.48,1.61,3.94,40.77,0.67,0.88,75.86,0.0,1.48,1.09,1.36,0.64,0.58,8.52,4.64,3.21,0.67,6.85,3.03,0.03,0.0,0.0,1.09,0.12,0.97,2.06,2.12,0.01,Ala,#18
Demétrio,Flamengo,30,19.76,8.43,0.97,3.2,30.21,2.27,3.57,63.55,1.0,1.5,66.67,0.57,1.2,0.5,2.4,0.77,1.53,8.43,2.9,4.53,1.0,11.23,4.97,0.4,0.0,0.0,0.5,0.13,1.57,3.4,1.67,0.24,Ala/Pivô,#71
Gabriel Jaú,Bauru,31,19.33,8.42,0.06,0.52,12.5,3.1,5.19,59.63,2.03,3.1,65.63,0.29,0.94,1.65,0.57,0.65,0.39,8.42,0.19,6.19,2.03,11.06,6.03,0.29,0.23,0.0,1.65,0.19,2.13,3.9,3.13,0.09,Ala/Pivô,#25
Davi,Minas,32,24.87,8.41,1.25,3.56,35.09,1.5,3.19,47.06,1.66,2.06,80.3,0.0,3.69,1.91,1.93,0.78,0.41,8.41,3.75,3.0,1.66,9.84,3.22,0.06,0.03,0.0,1.91,0.16,0.41,2.81,2.5,0.03,Armador,#5
Gui Santos,Minas,32,20.94,8.34,0.81,2.09,38.81,2.06,3.88,53.23,1.78,3.0,59.38,0.25,1.63,1.81,0.9,0.59,0.33,8.34,2.44,4.13,1.78,10.72,5.44,0.84,0.06,0.0,1.81,0.31,1.5,3.94,2.63,0.32,Ala,#11
Pastor,UNIFACISA,33,21.27,8.21,1.09,2.82,38.71,1.91,3.33,57.27,1.12,1.52,74.0,0.09,0.91,1.12,0.81,0.82,0.73,8.21,3.27,3.82,1.12,9.79,4.36,0.15,0.06,0.0,1.12,0.09,1.52,2.85,2.12,0.07,Ala/Pivô,#9
Lucas,Pato Basquete,27,22.34,8.15,1.44,4.19,34.51,1.15,3.67,31.31,1.52,1.85,82.0,0.0,3.15,1.78,1.77,0.78,0.44,8.15,4.33,2.3,1.52,6.78,2.07,0.0,0.0,0.0,1.78,0.3,0.74,1.33,2.04,0.0,Armador,#10
Jefferson,São Paulo,29,19.91,8.07,1.52,4.45,34.11,1.07,2.86,37.35,1.38,1.86,74.07,0.03,1.03,1.21,0.86,0.72,0.6,8.07,4.55,2.14,1.38,8.86,5.28,0.17,0.03,0.0,1.21,0.21,0.9,4.38,1.48,0.12,Ala/Pivô,#11
Balbi,Flamengo,25,23.45,8.0,1.52,4.24,35.85,1.12,2.44,45.9,1.2,1.64,73.17,0.0,5.16,1.88,2.74,1.08,0.57,8.0,4.56,2.24,1.2,11.44,3.52,0.04,0.04,0.0,1.88,0.12,0.64,2.88,1.6,0.03,Armador,#6
Rafa,UNIFACISA,33,20.01,7.76,0.36,0.97,37.5,2.7,4.45,60.54,1.27,1.67,76.36,0.15,0.82,0.85,0.96,0.85,1.0,7.76,1.09,5.39,1.27,10.09,4.15,0.12,0.03,0.0,0.85,0.21,1.55,2.61,2.33,0.05,Ala/Pivô,#16
Frierson,VipTech CMB,30,18.95,7.7,1.83,5.23,35.03,0.63,1.5,42.22,0.93,1.27,73.68,0.0,0.9,1.2,0.75,0.5,0.42,7.7,5.5,1.27,0.93,5.0,1.7,0.0,0.0,0.0,1.2,0.33,0.2,1.5,1.57,0.0,Armador,#3
Douglas Santos,Mogi,29,19.68,7.66,0.24,0.93,25.93,2.86,5.0,57.24,1.21,1.66,72.92,0.48,1.34,1.31,1.03,0.69,0.53,7.66,0.72,5.72,1.21,9.52,3.93,0.48,0.0,0.0,1.31,0.21,1.17,2.76,3.21,0.15,Ala/Pivô,#0
Vezaro,UNIFACISA,33,18.98,7.58,1.82,3.88,46.88,0.85,1.82,46.67,0.42,0.42,100.0,0.0,1.18,0.61,1.95,0.85,1.4,7.58,5.45,1.7,0.42,8.58,2.55,0.06,0.0,0.0,0.61,0.09,0.73,1.82,1.76,0.03,Ala,#10
Márcio,Sesi Franca,30,16.56,7.4,0.23,0.53,43.75,2.47,3.9,63.25,1.77,2.8,63.1,0.8,0.43,1.03,0.42,0.5,0.48,7.4,0.7,4.93,1.77,9.37,4.13,0.7,0.03,0.0,1.03,0.13,1.03,3.1,2.67,0.26,Ala/Pivô,#3
Larry Taylor,Bauru,35,22.94,7.31,1.37,3.94,34.78,1.14,2.71,42.11,0.91,0.97,94.12,0.0,2.6,0.71,3.64,0.8,1.12,7.31,4.11,2.29,0.91,8.49,2.66,0.03,0.0,0.0,0.71,0.09,0.54,2.11,1.31,0.02,Armador,#4
Diego,Bauru,34,19.89,7.24,1.29,2.88,44.9,1.18,2.5,47.06,1.0,1.38,72.34,0.12,1.41,1.26,1.12,0.82,0.65,7.24,3.88,2.35,1.0,9.59,4.09,0.59,0.06,0.0,1.26,0.21,1.03,3.06,2.71,0.22,Ala/Pivô,#15
Gui Abreu,Sesi Franca,30,18.88,7.23,1.07,2.8,38.1,1.5,2.67,56.25,1.03,1.4,73.81,0.37,1.0,0.37,2.73,0.87,2.36,7.23,3.2,3.0,1.03,9.33,3.6,0.27,0.0,0.0,0.37,0.07,1.17,2.43,1.87,0.14,Ala/Pivô,#33
Augusto,Pato Basquete,25,21.44,7.2,1.24,4.44,27.93,1.28,2.68,47.76,0.92,1.44,63.89,0.0,1.76,1.24,1.42,1.08,0.87,7.2,3.72,2.56,0.92,5.72,2.0,0.04,0.0,0.0,1.24,0.2,0.32,1.68,2.48,0.02,Armador,#55
Renato,Corinthians,27,23.73,7.15,0.81,1.93,42.31,1.85,4.3,43.1,1.0,1.67,60.0,0.3,1.41,1.48,0.95,0.48,0.33,7.15,2.44,3.7,1.0,7.74,4.04,0.37,0.0,0.0,1.48,0.04,1.56,2.48,2.33,0.16,Pivô,#15
M. Pajé,VipTech CMB,30,22.68,7.1,0.87,3.0,28.89,1.9,3.73,50.89,0.7,1.17,60.0,0.07,1.93,0.73,2.64,0.77,1.05,7.1,2.6,3.8,0.7,9.97,5.0,0.33,0.0,0.0,0.73,0.0,1.77,3.23,1.7,0.2,Ala/Pivô,#25
João Vitor,UNIFACISA,13,18.24,7.08,0.0,0.08,0.0,2.69,5.77,46.67,1.69,3.23,52.38,0.46,0.69,1.62,0.43,0.31,0.19,7.08,0.0,5.38,1.69,8.0,4.85,1.38,0.08,0.0,1.62,0.15,1.92,2.92,2.31,0.6,Pivô,#0
Sena,Pinheiros,21,15.12,7.0,0.67,2.24,29.79,1.33,3.29,40.58,2.33,2.71,85.96,0.0,1.43,1.0,1.43,0.86,0.86,7.0,2.0,2.67,2.33,5.95,1.57,0.0,0.0,0.0,1.0,0.14,0.48,1.1,1.05,0.0,Ala/Armador,#7
Sualisson,Fortaleza B. C.,29,24.97,7.0,0.45,1.62,27.66,2.48,5.0,49.66,0.69,1.59,43.48,0.17,1.0,1.62,0.62,0.9,0.55,7.0,1.34,4.97,0.69,8.66,5.1,0.86,0.0,0.0,1.62,0.21,1.66,3.45,2.83,0.3,Ala/Pivô,#14
Dawkins,São Paulo,30,17.7,7.0,1.07,2.57,41.56,1.4,2.63,53.16,1.0,1.33,75.0,0.0,2.3,0.87,2.65,0.9,1.04,7.0,3.2,2.8,1.0,8.1,1.8,0.03,0.0,0.0,0.87,0.13,0.27,1.53,1.27,0.03,Armador,#10
Leal,Pato Basquete,32,18.7,7.0,0.03,0.09,33.33,2.75,5.5,50.0,1.41,2.47,56.96,0.28,0.53,1.34,0.4,0.5,0.37,7.0,0.09,5.5,1.41,7.63,4.41,0.41,0.0,0.0,1.34,0.19,1.28,3.13,3.31,0.12,Pivô,#2
P. Rava,BRB/Brasília,24,23.08,6.88,0.5,1.5,33.33,1.42,3.21,44.16,2.54,3.29,77.22,0.0,2.67,1.17,2.29,0.75,0.64,6.88,1.5,2.83,2.54,8.46,2.79,0.08,0.0,0.0,1.17,0.08,0.42,2.38,1.75,0.05,Armador,#7
Servelin,Pato Basquete,29,19.62,6.86,0.9,2.14,41.94,1.62,3.24,50.0,0.93,1.21,77.14,0.0,0.79,0.86,0.92,0.76,0.88,6.86,2.69,3.24,0.93,6.76,2.24,0.1,0.0,0.0,0.86,0.14,0.52,1.72,2.17,0.05,Ala,#3
Pedro,KTO/Caxias do Sul,32,21.34,6.84,1.06,3.16,33.66,1.22,2.69,45.35,1.22,1.56,78.0,0.0,2.0,1.5,1.33,0.78,0.52,6.84,3.19,2.44,1.22,7.28,2.84,0.22,0.0,0.0,1.5,0.38,0.44,2.41,2.94,0.07,Ala,#9
Funches III,Pato Basquete,29,24.03,6.72,0.83,2.34,35.29,1.31,3.1,42.22,1.62,2.55,63.51,0.1,1.14,2.0,0.57,0.83,0.41,6.72,2.48,2.62,1.62,9.28,6.34,0.48,0.1,0.0,2.0,0.24,0.97,5.38,3.17,0.15,Ala/Pivô,#1
Castellon,VipTech CMB,29,19.6,6.72,1.38,4.31,32.0,0.83,2.21,37.5,0.93,1.14,81.82,0.03,0.38,0.66,0.58,0.69,1.05,6.72,4.14,1.66,0.93,5.72,3.03,0.07,0.03,0.0,0.66,0.1,0.48,2.55,1.48,0.05,Ala,#8
T. Faria,Pinheiros,6,15.14,6.67,0.83,2.33,35.71,1.5,3.17,47.37,1.17,1.17,100.0,0.0,0.83,0.5,1.67,0.5,1.0,6.67,2.5,3.0,1.17,5.17,0.83,0.0,0.0,0.0,0.5,0.17,0.0,0.83,0.33,0.0,Armador,#1
Schneider,Fortaleza B. C.,23,16.22,6.61,1.35,4.96,27.19,1.0,1.91,52.27,0.57,0.96,59.09,0.04,0.65,0.61,1.07,0.57,0.93,6.61,4.04,2.0,0.57,3.91,1.61,0.0,0.0,0.0,0.61,0.17,0.52,1.09,1.83,0.0,Ala,#18
Luizinho,VipTech CMB,30,19.61,6.6,0.0,0.4,0.0,3.13,6.03,51.93,0.33,1.4,23.81,0.3,1.5,1.8,0.83,0.63,0.35,6.6,0.0,6.27,0.33,6.53,3.77,0.2,0.0,0.0,1.8,0.3,1.17,2.6,1.6,0.13,Ala,#11
Ronald,Minas,24,17.06,6.58,0.0,0.08,0.0,2.67,4.08,65.31,1.25,2.17,57.69,0.17,0.5,1.17,0.43,0.38,0.32,6.58,0.0,5.33,1.25,8.71,4.42,0.42,0.0,0.0,1.17,0.21,1.54,2.88,2.88,0.14,Pivô,#6
Hubner,Sesi Franca,35,18.22,6.54,0.89,2.29,38.75,1.69,3.54,47.58,0.51,0.71,72.0,0.26,0.63,0.66,0.96,0.43,0.65,6.54,2.66,3.37,0.51,9.09,5.37,0.23,0.09,0.0,0.66,0.03,1.14,4.23,2.23,0.1,Pivô,#77
Teichmann,Pinheiros,27,27.05,6.52,0.0,0.07,0.0,2.89,5.04,57.35,0.74,1.7,43.48,0.3,3.63,2.15,1.69,1.85,0.86,6.52,0.0,5.78,0.74,16.37,8.81,0.89,0.11,0.0,2.15,0.07,2.04,6.78,2.78,0.32,Pivô,#11
Jefferson,BRB/Brasília,25,18.98,6.4,1.36,4.28,31.78,0.84,1.6,52.5,0.64,0.76,84.21,0.0,1.92,1.76,1.09,0.52,0.3,6.4,4.08,1.68,0.64,4.56,1.24,0.04,0.0,0.0,1.76,0.04,0.12,1.12,1.28,0.03,Ala/Armador,#0
Isaac,São Paulo,24,16.3,6.38,1.33,2.83,47.06,0.83,1.21,68.97,0.71,0.88,80.95,0.17,0.88,0.25,3.5,0.58,2.33,6.38,4.0,1.67,0.71,7.46,1.88,0.04,0.0,0.0,0.25,0.08,0.42,1.46,1.83,0.02,Ala,#7
Sahdi,UNIFACISA,15,19.11,6.2,1.27,4.13,30.65,0.67,1.93,34.48,1.07,1.13,94.12,0.0,4.6,2.2,2.09,0.93,0.42,6.2,3.8,1.33,1.07,7.53,2.2,0.0,0.0,0.0,2.2,0.13,0.13,2.07,2.0,0.0,Armador,#32
Von Haydin,Cerrado Basquete,29,17.51,6.1,1.14,3.45,33.0,1.14,2.52,45.21,0.41,0.62,66.67,0.0,1.0,0.86,1.16,0.59,0.68,6.1,3.41,2.28,0.41,5.48,2.52,0.03,0.0,0.0,0.86,0.17,0.59,1.93,1.52,0.02,Ala/Armador,#30
Queiros,Minas,32,16.34,6.06,1.31,3.22,40.78,0.84,1.78,47.37,0.44,0.56,77.78,0.13,0.75,0.91,0.83,0.41,0.45,6.06,3.94,1.69,0.44,6.09,2.75,0.0,0.0,0.0,0.91,0.22,0.63,2.13,1.56,0.0,Ala/Pivô,#3
Lessa,Mogi,35,22.86,5.94,0.51,1.86,27.69,1.86,3.06,60.75,0.69,1.0,68.57,0.0,2.26,1.63,1.39,1.26,0.77,5.94,1.54,3.71,0.69,7.8,2.83,0.0,0.0,0.0,1.63,0.31,0.71,2.11,2.71,0.0,Ala/Armador,#32
L. Cauê,Corinthians,32,14.98,5.91,0.0,0.09,0.0,2.47,3.97,62.2,0.97,1.56,62.0,0.72,0.66,1.34,0.49,0.19,0.14,5.91,0.0,4.94,0.97,7.81,4.16,0.44,0.03,0.0,1.34,0.25,1.22,2.94,2.47,0.18,Pivô,#23
Mogi,Mogi,28,17.42,5.75,0.32,1.82,17.65,2.04,3.79,53.77,0.71,1.07,66.67,0.25,1.39,0.86,1.63,0.46,0.54,5.75,0.96,4.07,0.71,7.18,3.89,0.14,0.04,0.0,0.86,0.14,1.39,2.5,1.39,0.1,Ala,#19
Lucas Lima,Cerrado Basquete,30,20.99,5.73,0.73,2.47,29.73,1.4,3.3,42.42,0.73,1.03,70.97,0.0,2.1,1.03,2.03,1.07,1.03,5.73,2.2,2.8,0.73,6.4,2.37,0.1,0.0,0.0,1.03,0.1,0.7,1.67,2.13,0.05,Armador,#4
Cauê,Fortaleza B. C.,26,24.07,5.65,1.0,3.0,33.33,1.0,2.12,47.27,0.65,0.92,70.83,0.0,2.65,1.08,2.46,0.88,0.82,5.65,3.0,2.0,0.65,7.88,2.88,0.27,0.0,0.0,1.08,0.04,0.42,2.46,2.58,0.1,Armador,#8
W. Sena,Pinheiros,26,14.21,5.58,0.19,0.81,23.81,2.19,5.58,39.31,0.62,1.08,57.14,0.23,0.46,0.85,0.55,0.31,0.36,5.58,0.58,4.38,0.62,4.46,3.35,0.08,0.0,0.0,0.85,0.08,1.5,1.85,1.69,0.05,Pivô,#21
Figueroa,VipTech CMB,23,25.9,5.43,0.7,3.13,22.22,1.22,2.26,53.85,0.91,1.35,67.74,0.0,5.3,1.83,2.9,1.0,0.55,5.43,2.09,2.43,0.91,8.52,2.39,0.13,0.04,0.0,1.83,0.0,0.74,1.65,2.43,0.05,Armador,#33
Pecos,UNIFACISA,33,18.38,5.42,0.55,2.0,27.27,1.45,3.18,45.71,0.88,1.21,72.5,0.0,3.24,1.12,2.89,0.85,0.76,5.42,1.64,2.91,0.88,7.39,2.48,0.03,0.0,0.0,1.12,0.15,0.61,1.88,1.0,0.03,Armador,#23
B. Fiorotto,Cerrado Basquete,16,15.74,5.31,0.13,0.13,100.0,2.19,3.88,56.45,0.56,1.38,40.91,0.0,1.5,1.5,1.0,0.19,0.13,5.31,0.38,4.38,0.56,6.75,3.75,0.0,0.0,0.0,1.5,0.06,0.88,2.88,2.0,0.0,Pivô,#21
Leonardo,UNIFACISA,12,13.88,5.25,0.0,0.0,0.0,2.33,3.33,70.0,0.58,0.92,63.64,0.5,0.5,0.83,0.6,0.58,0.7,5.25,0.0,4.67,0.58,8.67,3.67,0.83,0.0,0.0,0.83,0.0,1.0,2.67,3.0,0.28,Pivô,#21
Rafa Moreira,Minas,28,14.85,5.25,1.43,2.93,48.78,0.32,0.89,36.0,0.32,0.43,75.0,0.0,0.68,0.75,0.9,0.36,0.48,5.25,4.29,0.64,0.32,5.46,1.96,0.14,0.0,0.0,0.75,0.11,0.57,1.39,2.64,0.05,Ala,#9
Magna,VipTech CMB,30,14.03,4.9,1.0,2.73,36.59,0.87,2.13,40.63,0.17,0.2,83.33,0.0,0.93,0.7,1.33,0.2,0.29,4.9,3.0,1.73,0.17,4.4,2.0,0.1,0.0,0.0,0.7,0.03,0.5,1.5,1.87,0.05,Ala/Pivô,#19
Marcelão,BRB/Brasília,30,16.99,4.83,0.0,0.07,0.0,2.1,4.3,48.84,0.63,1.27,50.0,0.1,0.63,1.33,0.48,0.33,0.25,4.83,0.0,4.2,0.63,6.6,4.83,0.2,0.1,0.0,1.33,0.23,1.67,3.17,2.53,0.08,Pivô,#5
Alex,Fortaleza B. C.,26,18.78,4.69,0.73,2.96,24.68,0.88,2.38,37.1,0.73,1.12,65.52,0.12,0.77,0.77,1.0,0.42,0.55,4.69,2.19,1.77,0.73,3.38,2.31,0.08,0.0,0.0,0.77,0.12,0.65,1.65,2.0,0.04,Ala/Pivô,#10
Gerson,São Paulo,25,13.44,4.64,0.04,0.08,50.0,1.88,3.64,51.65,0.76,1.0,76.0,0.36,0.12,0.4,0.3,0.44,1.1,4.64,0.12,3.76,0.76,5.8,2.72,0.32,0.0,0.0,0.4,0.04,1.24,1.48,2.04,0.16,Pivô,#1
Barbosa,Paulistano,29,17.2,4.62,0.48,2.52,19.18,1.17,2.86,40.96,0.83,1.52,54.55,0.17,1.14,0.59,1.94,0.66,1.12,4.62,1.45,2.34,0.83,6.9,5.34,0.14,0.07,0.0,0.59,0.28,1.79,3.55,2.03,0.07,Ala,#32
Dikembe,Bauru,35,13.64,4.46,0.0,0.0,0.0,1.89,3.49,54.1,0.69,1.83,37.5,0.57,0.26,0.83,0.31,0.63,0.76,4.46,0.0,3.77,0.69,5.09,3.03,0.29,0.0,0.0,0.83,0.14,1.14,1.89,1.71,0.17,Pivô,#20
Pedro Nunes,Flamengo,29,14.53,4.38,0.52,2.14,24.19,0.86,2.03,42.37,1.1,1.79,61.54,0.0,1.24,0.52,2.4,0.59,1.13,4.38,1.55,1.72,1.1,4.79,2.52,0.07,0.0,0.0,0.52,0.1,0.9,1.62,1.62,0.04,Ala/Armador,#24
Gegê,Corinthians,26,20.2,4.31,1.04,3.46,30.0,0.27,0.77,35.0,0.65,0.77,85.0,0.0,3.81,1.23,3.09,1.27,1.03,4.31,3.12,0.54,0.65,8.08,2.96,0.0,0.0,0.0,1.23,0.08,0.27,2.69,2.5,0.0,Armador,#19
D. Souza,Pinheiros,9,12.87,4.22,0.56,2.0,27.78,1.11,2.0,55.56,0.33,0.67,50.0,0.0,0.56,0.89,0.63,0.11,0.13,4.22,1.67,2.22,0.33,4.67,3.11,0.22,0.0,0.0,0.89,0.11,1.11,2.0,2.0,0.11,Pivô,#12
Jhonatan,Flamengo,29,17.94,4.14,0.9,2.59,34.67,0.55,1.07,51.61,0.34,0.38,90.91,0.07,0.93,0.62,1.5,0.45,0.72,4.14,2.69,1.1,0.34,5.34,2.59,0.1,0.0,0.0,0.62,0.03,1.03,1.55,1.86,0.06,Ala,#7
Kurtz,Mogi,32,9.6,4.09,0.0,0.0,0.0,1.72,2.84,60.44,0.66,1.28,51.22,0.25,0.31,0.88,0.36,0.0,0.0,4.09,0.0,3.44,0.66,4.34,2.31,0.25,0.0,0.0,0.88,0.13,0.53,1.78,1.53,0.16,Pivô,#34
Valter,Pinheiros,14,12.39,4.07,0.57,1.71,33.33,1.07,1.86,57.69,0.21,0.21,100.0,0.0,0.71,1.21,0.59,0.5,0.41,4.07,1.71,2.14,0.21,3.43,1.21,0.07,0.0,0.0,1.21,0.07,0.29,0.93,1.57,0.05,Ala/Armador,#28
Alex,Cerrado Basquete,26,15.25,3.96,0.35,0.96,36.0,1.23,3.15,39.02,0.46,0.85,54.55,0.31,1.04,1.0,1.04,0.69,0.69,3.96,1.04,2.46,0.46,5.54,3.23,0.54,0.0,0.0,1.0,0.08,1.23,2.0,1.96,0.27,Ala/Pivô,#13
Doria,Paulistano,33,14.02,3.91,0.33,1.58,21.15,1.15,2.52,45.78,0.61,1.09,55.56,0.03,0.79,0.55,1.44,0.45,0.83,3.91,1.0,2.3,0.61,4.79,3.06,0.21,0.0,0.0,0.55,0.15,1.42,1.64,1.67,0.13,Ala/Pivô,#7
Gabriel,Pato Basquete,11,12.91,3.82,0.45,2.09,21.74,1.0,1.64,61.11,0.45,0.55,83.33,0.0,0.91,0.73,1.25,0.45,0.63,3.82,1.36,2.0,0.45,3.91,1.55,0.27,0.0,0.0,0.73,0.0,0.27,1.27,1.64,0.17,Ala,#12
Pezão,VipTech CMB,20,10.81,3.7,0.05,0.05,100.0,1.55,2.65,58.49,0.45,1.15,39.13,0.15,0.55,0.65,0.85,0.5,0.77,3.7,0.15,3.1,0.45,5.15,2.7,0.15,0.0,0.0,0.65,0.0,1.25,1.45,1.3,0.12,Pivô,#21
