Pos.,Jogador,Equipe,JO,Min,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN
115,Schneider #18,Fortaleza B. C.,23,16.22,6.61,1.35,4.96,27.19,1.0,1.91,52.27,0.57,0.96,59.09,0.04
116,Luizinho #11,VipTech CMB,30,19.61,6.6,0.0,0.4,0.0,3.13,6.03,51.93,0.33,1.4,23.81,0.3
117,Ronald #6,Minas,24,17.06,6.58,0.0,0.08,0.0,2.67,4.08,65.31,1.25,2.17,57.69,0.17
118,Hubner #77,Sesi Franca,35,18.22,6.54,0.89,2.29,38.75,1.69,3.54,47.58,0.51,0.71,72.0,0.26
119,Teichmann #11,Pinheiros,27,27.05,6.52,0.0,0.07,0.0,2.89,5.04,57.35,0.74,1.7,43.48,0.3
120,Jefferson #0,BRB/Brasília,25,18.98,6.4,1.36,4.28,31.78,0.84,1.6,52.5,0.64,0.76,84.21,0.0
121,Isaac #7,São Paulo,24,16.3,6.38,1.33,2.83,47.06,0.83,1.21,68.97,0.71,0.88,80.95,0.17
122,Sahdi #32,UNIFACISA,15,19.11,6.2,1.27,4.13,30.65,0.67,1.93,34.48,1.07,1.13,94.12,0.0
123,Von Haydin #30,Cerrado Basquete,29,17.51,6.1,1.14,3.45,33.0,1.14,2.52,45.21,0.41,0.62,66.67,0.0
124,Queiros #3,Minas,32,16.34,6.06,1.31,3.22,40.78,0.84,1.78,47.37,0.44,0.56,77.78,0.13
125,Lessa #32,Mogi,35,22.86,5.94,0.51,1.86,27.69,1.86,3.06,60.75,0.69,1.0,68.57,0.0
126,L. Cauê #23,Corinthians,32,14.98,5.91,0.0,0.09,0.0,2.47,3.97,62.2,0.97,1.56,62.0,0.72
127,Mogi #19,Mogi,28,17.42,5.75,0.32,1.82,17.65,2.04,3.79,53.77,0.71,1.07,66.67,0.25
128,Lucas Lima #4,Cerrado Basquete,30,20.99,5.73,0.73,2.47,29.73,1.4,3.3,42.42,0.73,1.03,70.97,0.0
129,Cauê #8,Fortaleza B. C.,26,24.07,5.65,1.0,3.0,33.33,1.0,2.12,47.27,0.65,0.92,70.83,0.0
130,W. Sena #21,Pinheiros,26,14.21,5.58,0.19,0.81,23.81,2.19,5.58,39.31,0.62,1.08,57.14,0.23
131,Figueroa #33,VipTech CMB,23,25.9,5.43,0.7,3.13,22.22,1.22,2.26,53.85,0.91,1.35,67.74,0.0
132,Pecos #23,UNIFACISA,33,18.38,5.42,0.55,2.0,27.27,1.45,3.18,45.71,0.88,1.21,72.5,0.0
133,B. Fiorotto #21,Cerrado Basquete,16,15.74,5.31,0.13,0.13,100.0,2.19,3.88,56.45,0.56,1.38,40.91,0.0
134,Leonardo #21,UNIFACISA,12,13.88,5.25,0.0,0.0,0.0,2.33,3.33,70.0,0.58,0.92,63.64,0.5
135,Rafa Moreira #9,Minas,28,14.85,5.25,1.43,2.93,48.78,0.32,0.89,36.0,0.32,0.43,75.0,0.0
136,Magna #19,VipTech CMB,30,14.03,4.9,1.0,2.73,36.59,0.87,2.13,40.63,0.17,0.2,83.33,0.0
137,Marcelão #5,BRB/Brasília,30,16.99,4.83,0.0,0.07,0.0,2.1,4.3,48.84,0.63,1.27,50.0,0.1
138,Alex #10,Fortaleza B. C.,26,18.78,4.69,0.73,2.96,24.68,0.88,2.38,37.1,0.73,1.12,65.52,0.12
139,Gerson #1,São Paulo,25,13.44,4.64,0.04,0.08,50.0,1.88,3.64,51.65,0.76,1.0,76.0,0.36
140,Barbosa #32,Paulistano,29,17.2,4.62,0.48,2.52,19.18,1.17,2.86,40.96,0.83,1.52,54.55,0.17
141,Dikembe #20,Bauru,35,13.64,4.46,0.0,0.0,0.0,1.89,3.49,54.1,0.69,1.83,37.5,0.57
142,Pedro Nunes #24,Flamengo,29,14.53,4.38,0.52,2.14,24.19,0.86,2.03,42.37,1.1,1.79,61.54,0.0
143,Gegê #19,Corinthians,26,20.2,4.31,1.04,3.46,30.0,0.27,0.77,35.0,0.65,0.77,85.0,0.0
144,D. Souza #12,Pinheiros,9,12.87,4.22,0.56,2.0,27.78,1.11,2.0,55.56,0.33,0.67,50.0,0.0
145,Jhonatan #7,Flamengo,29,17.94,4.14,0.9,2.59,34.67,0.55,1.07,51.61,0.34,0.38,90.91,0.07
146,Kurtz #34,Mogi,32,9.6,4.09,0.0,0.0,0.0,1.72,2.84,60.44,0.66,1.28,51.22,0.25
147,Valter #28,Pinheiros,14,12.39,4.07,0.57,1.71,33.33,1.07,1.86,57.69,0.21,0.21,100.0,0.0
148,Alex #13,Cerrado Basquete,26,15.25,3.96,0.35,0.96,36.0,1.23,3.15,39.02,0.46,0.85,54.55,0.31
149,Doria #7,Paulistano,33,14.02,3.91,0.33,1.58,21.15,1.15,2.52,45.78,0.61,1.09,55.56,0.03
150,Gabriel #12,Pato Basquete,11,12.91,3.82,0.45,2.09,21.74,1.0,1.64,61.11,0.45,0.55,83.33,0.0
151,Pezão #21,VipTech CMB,20,10.81,3.7,0.05,0.05,100.0,1.55,2.65,58.49,0.45,1.15,39.13,0.15
152,Sérgio #1,Cerrado Basquete,30,14.9,3.57,0.0,0.0,0.0,1.53,3.33,46.0,0.5,1.3,38.46,0.4
153,Nogueira #92,Fortaleza B. C.,10,17.62,3.5,0.0,0.5,0.0,1.6,3.2,50.0,0.3,0.7,42.86,0.6
154,Jamison #6,Pinheiros,12,14.14,3.5,0.17,1.58,10.53,1.17,2.92,40.0,0.67,0.83,80.0,0.0
155,Adyel #4,Sesi Franca,32,10.71,3.47,0.28,1.22,23.08,0.94,2.28,41.1,0.75,1.0,75.0,0.03
156,Rodrigues #16,Pato Basquete,30,9.05,3.43,0.0,0.0,0.0,1.43,2.63,54.43,0.57,0.8,70.83,0.13
157,Tom #40,VipTech CMB,28,11.19,3.43,0.0,0.0,0.0,1.32,2.71,48.68,0.79,2.0,39.29,0.14
158,Zubiaurre #31,Pinheiros,24,11.93,3.42,0.46,1.13,40.74,0.92,2.17,42.31,0.21,0.46,45.45,0.04
159,J. Socas #54,BRB/Brasília,3,18.72,3.33,0.33,1.67,20.0,0.67,2.0,33.33,1.0,1.33,75.0,0.0
160,Ambrosino #35,Cerrado Basquete,28,13.85,3.32,0.36,1.46,24.39,0.96,2.18,44.26,0.32,0.46,69.23,0.14
161,Aquiles #20,Pato Basquete,31,13.18,3.23,0.35,1.35,26.19,0.77,2.26,34.29,0.61,0.68,90.48,0.0
162,Gabriel #8,BRB/Brasília,23,9.47,3.13,0.52,1.48,35.29,0.48,1.48,32.35,0.61,0.91,66.67,0.0
163,Eugeniusz #6,KTO/Caxias do Sul,28,9.55,3.07,0.14,0.68,21.05,0.86,1.89,45.28,0.93,1.75,53.06,0.0
164,Gemadinha #35,UNIFACISA,26,8.0,3.04,0.54,1.88,28.57,0.42,0.85,50.0,0.58,0.62,93.75,0.0
165,Cassiano #5,Mogi,27,10.3,3.04,0.33,0.93,36.0,0.67,1.7,39.13,0.7,0.78,90.48,0.0
166,Capela #5,Pinheiros,8,13.3,3.0,0.0,1.25,0.0,1.13,3.25,34.62,0.75,1.5,50.0,0.13
167,Jonatan #50,Paulistano,11,6.46,2.82,0.82,1.91,42.86,0.0,0.27,0.0,0.36,0.45,80.0,0.0
168,Camargo #13,Flamengo,5,6.72,2.8,0.2,0.4,50.0,0.8,1.4,57.14,0.6,1.0,60.0,0.2
169,R. Rachel #20,Flamengo,22,7.75,2.73,0.36,1.23,29.63,0.68,0.82,83.33,0.27,0.5,54.55,0.14
170,Vezarinho #10,Corinthians,27,9.04,2.7,0.37,1.26,29.41,0.59,1.41,42.11,0.41,0.52,78.57,0.0
171,Danilo #17,BRB/Brasília,19,10.22,2.58,0.26,0.68,38.46,0.47,0.95,50.0,0.84,1.16,72.73,0.0
172,M. Douglas #13,Pinheiros,26,10.06,2.54,0.08,0.46,16.67,1.04,3.04,34.18,0.23,0.58,40.0,0.31
173,Alexandrino #13,UNIFACISA,19,12.32,2.42,0.0,0.0,0.0,1.0,1.89,52.78,0.42,0.84,50.0,0.05
174,Ruan #9,Flamengo,9,5.69,2.33,0.0,0.0,0.0,0.89,1.78,50.0,0.56,1.33,41.67,0.22
175,Luis #9,Cerrado Basquete,18,7.99,2.28,0.5,1.56,32.14,0.22,0.83,26.67,0.33,0.44,75.0,0.0
176,Edu Marília #11,Sesi Franca,25,5.57,2.12,0.16,0.36,44.44,0.72,1.2,60.0,0.2,0.44,45.45,0.24
177,Lobo #9,Fortaleza B. C.,16,5.26,2.06,0.44,1.06,41.18,0.13,0.44,28.57,0.5,0.69,72.73,0.06
178,Varejão #50,VipTech CMB,4,1.74,2.0,0.0,0.0,0.0,0.75,1.25,60.0,0.5,0.75,66.67,0.0
179,Colina #8,Mogi,10,4.67,2.0,0.4,1.0,40.0,0.2,0.4,50.0,0.4,0.4,100.0,0.0
180,Lassance #24,Fortaleza B. C.,16,8.62,2.0,0.25,0.63,40.0,0.56,1.5,37.5,0.13,0.13,100.0,0.06
181,Nathan #43,Sesi Franca,6,3.2,1.83,0.5,0.67,75.0,0.0,0.17,0.0,0.33,0.33,100.0,0.0
182,Djalo #35,Corinthians,11,5.29,1.82,0.09,0.36,25.0,0.64,1.0,63.64,0.27,1.09,25.0,0.27
183,Alexei Patrício #3,Bauru,25,7.03,1.76,0.32,0.64,50.0,0.24,0.76,31.58,0.32,0.48,66.67,0.0
184,R. Stabile #17,KTO/Caxias do Sul,29,7.54,1.72,0.21,1.03,20.0,0.34,0.69,50.0,0.41,0.59,70.59,0.0
185,João Pedro #16,Bauru,6,6.54,1.67,0.0,0.0,0.0,0.67,1.33,50.0,0.33,0.33,100.0,0.17
186,Maciel #34,Flamengo,12,5.28,1.67,0.42,0.92,45.45,0.17,0.67,25.0,0.08,0.33,25.0,0.0
187,Dalaqua #8,Corinthians,19,7.89,1.63,0.32,1.47,21.43,0.32,0.58,54.55,0.05,0.11,50.0,0.0
188,L. Brito #6,VipTech CMB,11,6.3,1.55,0.0,0.36,0.0,0.45,1.55,29.41,0.64,0.82,77.78,0.27
189,Kirsten #11,Pato Basquete,11,6.57,1.55,0.45,1.09,41.67,0.09,0.36,25.0,0.0,0.0,0.0,0.0
190,Vinícius #3,Paulistano,2,2.87,1.5,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,Rubinho #15,KTO/Caxias do Sul,2,1.2,1.5,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,J V Vieira #90,Cerrado Basquete,2,1.33,1.5,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,Ludwig #14,Corinthians,8,2.44,1.5,0.0,0.0,0.0,0.63,0.88,71.43,0.25,0.25,100.0,0.0
194,Dias #31,Minas,10,4.42,1.5,0.3,1.2,25.0,0.3,0.4,75.0,0.0,0.0,0.0,0.0
195,Ianguas #20,Paulistano,22,6.36,1.41,0.0,0.0,0.0,0.64,1.14,56.0,0.14,0.27,50.0,0.18
196,Gabriel #7,Fortaleza B. C.,16,5.57,1.38,0.06,0.75,8.33,0.38,1.13,33.33,0.44,0.5,87.5,0.0
197,Igor #20,São Paulo,15,7.77,1.2,0.33,1.53,21.74,0.0,0.47,0.0,0.2,0.53,37.5,0.0
198,D. Penteado #12,São Paulo,15,8.11,1.13,0.33,1.67,20.0,0.07,0.6,11.11,0.0,0.0,0.0,0.07
199,Augusto #46,Minas,9,3.29,1.11,0.0,0.0,0.0,0.44,1.33,33.33,0.22,0.33,66.67,0.0
200,Derick #8,Pato Basquete,24,6.23,1.08,0.08,0.67,12.5,0.42,1.08,38.46,0.0,0.0,0.0,0.04
201,Adriano Big #4,KTO/Caxias do Sul,17,6.84,1.06,0.0,0.0,0.0,0.35,1.12,31.58,0.35,0.71,50.0,0.12
202,Santana #34,Pinheiros,2,18.42,1.0,0.0,1.0,0.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0
203,André #23,Paulistano,3,3.84,1.0,0.0,0.0,0.0,0.33,0.33,100.0,0.33,0.67,50.0,0.0
204,Emanuel Matias #11,Bauru,11,3.57,0.82,0.09,0.36,25.0,0.18,0.36,50.0,0.18,0.18,100.0,0.0
205,Dida #41,KTO/Caxias do Sul,7,4.91,0.71,0.0,0.0,0.0,0.29,0.43,66.67,0.14,0.29,50.0,0.0
206,Felipe #11,BRB/Brasília,15,3.77,0.67,0.0,0.33,0.0,0.33,0.53,62.5,0.0,0.27,0.0,0.0
207,Rafael #12,Paulistano,8,2.68,0.63,0.0,0.0,0.0,0.25,0.63,40.0,0.13,0.25,50.0,0.0
208,Felipe #16,Mogi,18,3.47,0.61,0.0,0.0,0.0,0.28,0.83,33.33,0.06,0.06,100.0,0.17
209,Ribeiro #12,Minas,7,4.4,0.57,0.0,0.43,0.0,0.14,0.43,33.33,0.29,0.29,100.0,0.0
210,Cristhyã #41,Flamengo,4,2.33,0.5,0.0,0.0,0.0,0.25,0.5,50.0,0.0,0.0,0.0,0.0
211,L. Muller #10,VipTech CMB,4,8.66,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,1.5,33.33,0.0
212,Buiú #14,Paulistano,12,3.08,0.5,0.17,0.5,33.33,0.0,0.5,0.0,0.0,0.17,0.0,0.0
213,Beto #5,Paulistano,24,3.91,0.42,0.08,0.63,13.33,0.08,0.29,28.57,0.0,0.08,0.0,0.0
214,Lukas Josuel #12,Bauru,5,1.91,0.4,0.0,0.0,0.0,0.2,0.6,33.33,0.0,0.0,0.0,0.2
215,Rapha #1,VipTech CMB,13,2.4,0.31,0.0,0.23,0.0,0.08,0.31,25.0,0.15,0.31,50.0,0.0
216,Vitor #7,Sesi Franca,7,2.08,0.29,0.0,0.57,0.0,0.14,0.29,50.0,0.0,0.0,0.0,0.0
217,P. Costa #1,BRB/Brasília,1,1.12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
218,Daniel #0,Paulistano,1,3.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
219,C. Gonçalves #21,São Paulo,1,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,Du Klafke #14,Sesi Franca,1,1.53,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,Reynan #29,Sesi Franca,1,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,P. Barros #21,BRB/Brasília,1,1.12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
223,Cestari #22,Corinthians,2,0.55,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,Ziggy #14,Mogi,2,4.38,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
225,Victorino #21,Paulistano,2,1.65,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
226,Duarte #17,Cerrado Basquete,2,3.35,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,Wander Broock #26,VipTech CMB,3,1.04,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0
228,Cadu #10,BRB/Brasília,3,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,Victor #3,Corinthians,3,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,Elvis F. #17,Pinheiros,3,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,Marco #10,KTO/Caxias do Sul,3,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,Léo Abreu #13,Sesi Franca,3,1.09,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0
233,Pedro Silva #6,Mogi,4,2.2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
234,Murilo #5,Pato Basquete,4,4.33,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
