Pos.,Jogador,Equipe,JO,Min,ET,VI,ER
1,Fúlvio #2,Mogi,32,30.11,3.84,0.22,3.84
2,Nezinho #23,BRB/Brasília,25,26.26,3.76,0.36,3.76
3,Elinho #5,Sesi Franca,31,31.48,3.23,0.19,3.23
4,Humberto #19,Pinheiros,26,31.63,2.92,0.35,2.92
5,Gabriel #2,Pinheiros,30,25.15,2.9,0.23,2.9
6,Cauê #8,Paulistano,19,27.07,2.84,0.26,2.84
7,Holloway #1,Fortaleza B. C.,24,33.49,2.83,0.42,2.83
8,Matheusinho #9,Pato Basquete,30,25.22,2.57,0.4,2.57
9,Coelho #10,Cerrado Basquete,15,26.07,2.53,0.13,2.53
10,Cook #55,VipTech CMB,23,30.72,2.48,0.35,2.48
11,Georginho #14,São Paulo,30,32.77,2.4,0.2,2.4
12,Alex Garcia #10,Bauru,34,31.36,2.29,0.18,2.29
13,Yeager #3,BRB/Brasília,16,31.82,2.25,0.13,2.25
14,Pierotti #4,VipTech CMB,20,31.97,2.25,0.25,2.25
15,Paranhos #24,UNIFACISA,25,23.88,2.24,0.4,2.24
16,Parodi #21,Minas,22,21.94,2.23,0.18,2.23
17,Fischer #1,Corinthians,31,25.52,2.23,0.16,2.23
18,Deryk #9,Paulistano,33,25.92,2.21,0.03,2.21
19,Sahdi #32,UNIFACISA,15,19.11,2.2,0.13,2.2
20,Fuller #14,Cerrado Basquete,13,31.74,2.15,0.15,2.15
21,Teichmann #11,Pinheiros,27,27.05,2.15,0.07,2.15
22,Da Silva #7,KTO/Caxias do Sul,29,23.63,2.07,0.14,2.07
23,Mathias #12,Fortaleza B. C.,30,25.63,2.07,0.33,2.07
24,Batista #13,Minas,32,22.65,2.03,0.25,2.03
25,Nehemias #7,UNIFACISA,33,22.65,2.03,0.36,2.03
26,J. Socas #54,BRB/Brasília,3,18.72,2.0,0.0,2.0
27,Brite #3,Fortaleza B. C.,26,29.39,2.0,0.35,2.0
28,Shamell #8,São Paulo,29,29.79,2.0,0.17,2.0
29,Funches III #1,Pato Basquete,29,24.03,2.0,0.24,2.0
30,Lucas Dias #9,Sesi Franca,32,33.78,1.91,0.16,1.91
31,Davi #5,Minas,32,24.87,1.91,0.16,1.91
32,Fuller #2,Corinthians,31,32.99,1.9,0.16,1.9
33,Alexey Borges #8,Bauru,29,32.85,1.9,0.17,1.9
34,Balbi #6,Flamengo,25,23.45,1.88,0.12,1.88
35,Betinho #26,UNIFACISA,33,26.08,1.88,0.15,1.88
36,Pedro Teruel #12,KTO/Caxias do Sul,32,28.09,1.84,0.31,1.84
37,Hettsheimeir #30,Flamengo,32,21.14,1.84,0.41,1.84
38,Wesley #21,Mogi,35,29.02,1.83,0.17,1.83
39,Figueroa #33,VipTech CMB,23,25.9,1.83,0.0,1.83
40,Fuzaro #6,Sesi Franca,34,27.15,1.82,0.26,1.82
41,Gui Santos #11,Minas,32,20.94,1.81,0.31,1.81
42,Wiggins #15,Cerrado Basquete,15,24.6,1.8,0.27,1.8
43,Luizinho #11,VipTech CMB,30,19.61,1.8,0.3,1.8
44,Tyrone Curnell #0,Bauru,35,28.26,1.8,0.2,1.8
45,Coleman #9,Mogi,28,29.37,1.79,0.25,1.79
46,Miller #33,Corinthians,32,27.28,1.78,0.22,1.78
47,Lucas #10,Pato Basquete,27,22.34,1.78,0.3,1.78
48,Shilton #66,KTO/Caxias do Sul,26,29.26,1.77,0.12,1.77
49,Gemerson #6,BRB/Brasília,17,26.3,1.76,0.35,1.76
50,Jefferson #0,BRB/Brasília,25,18.98,1.76,0.04,1.76
51,Lucas Mariano #28,São Paulo,30,29.09,1.7,0.27,1.7
52,Thomas #24,Paulistano,18,25.2,1.67,0.17,1.67
53,Buffat #9,Pinheiros,23,23.39,1.65,0.39,1.65
54,Gabriel Jaú #25,Bauru,31,19.33,1.65,0.19,1.65
55,Lessa #32,Mogi,35,22.86,1.63,0.31,1.63
56,Sualisson #14,Fortaleza B. C.,29,24.97,1.62,0.21,1.62
57,João Vitor #0,UNIFACISA,13,18.24,1.62,0.15,1.62
58,Camargo #13,Flamengo,5,6.72,1.6,0.8,1.6
59,Nogueira #92,Fortaleza B. C.,10,17.62,1.6,0.1,1.6
60,Smith #10,Sesi Franca,17,24.34,1.59,0.29,1.59
61,André Goes #40,Sesi Franca,33,30.67,1.55,0.06,1.55
62,Marquinhos #11,Flamengo,26,24.13,1.54,0.12,1.54
63,B. Fiorotto #21,Cerrado Basquete,16,15.74,1.5,0.06,1.5
64,Pedro #9,KTO/Caxias do Sul,32,21.34,1.5,0.38,1.5
65,Yago #2,Flamengo,31,24.82,1.48,0.19,1.48
66,Renato #15,Corinthians,27,23.73,1.48,0.04,1.48
67,Nico #22,KTO/Caxias do Sul,25,31.02,1.48,0.12,1.48
68,Caio Torres #13,BRB/Brasília,28,23.42,1.46,0.07,1.46
69,Ruivo #4,Paulistano,33,28.75,1.45,0.12,1.45
70,Eddy #33,KTO/Caxias do Sul,31,33.75,1.45,0.23,1.45
71,Chuzito #8,Flamengo,27,24.32,1.44,0.11,1.44
72,Gruber #20,Mogi,34,21.68,1.44,0.12,1.44
73,Johnson Sr #22,Minas,30,26.5,1.4,0.27,1.4
74,Capela #5,Pinheiros,8,13.3,1.38,0.13,1.38
75,Paulo #7,Cerrado Basquete,27,26.87,1.37,0.11,1.37
76,Green #44,Sesi Franca,17,24.85,1.35,0.18,1.35
77,Leal #2,Pato Basquete,32,18.7,1.34,0.19,1.34
78,L. Cauê #23,Corinthians,32,14.98,1.34,0.25,1.34
79,Marcelão #5,BRB/Brasília,30,16.99,1.33,0.23,1.33
80,Lucão #31,VipTech CMB,30,20.23,1.33,0.23,1.33
81,Sérgio #1,Cerrado Basquete,30,14.9,1.33,0.23,1.33
82,Gui Deodato #1,Bauru,34,32.68,1.32,0.24,1.32
83,Douglas Santos #0,Mogi,29,19.68,1.31,0.21,1.31
84,Adriano Big #4,KTO/Caxias do Sul,17,6.84,1.29,0.06,1.29
85,Bennett #3,São Paulo,31,30.64,1.29,0.16,1.29
86,Rashaun #17,Fortaleza B. C.,30,23.92,1.27,0.33,1.27
87,Diego #15,Bauru,34,19.89,1.26,0.21,1.26
88,Arthur #36,Corinthians,28,22.72,1.25,0.07,1.25
89,Augusto #55,Pato Basquete,25,21.44,1.24,0.2,1.24
90,Gegê #19,Corinthians,26,20.2,1.23,0.08,1.23
91,Valter #28,Pinheiros,14,12.39,1.21,0.07,1.21
92,Nesbitt #25,Minas,29,25.94,1.21,0.1,1.21
93,Jefferson #11,São Paulo,29,19.91,1.21,0.21,1.21
94,Zach Graham #32,Bauru,20,27.9,1.2,0.4,1.2
95,Frierson #3,VipTech CMB,30,18.95,1.2,0.33,1.2
96,Barnes #34,UNIFACISA,31,21.51,1.19,0.23,1.19
97,Maique #35,Paulistano,32,24.17,1.19,0.19,1.19
98,G. Basílio #10,Pinheiros,27,23.0,1.19,0.26,1.19
99,I. Thornton #0,Pato Basquete,28,31.7,1.18,0.04,1.18
100,Ronald #6,Minas,24,17.06,1.17,0.21,1.17
101,P. Rava #7,BRB/Brasília,24,23.08,1.17,0.08,1.17
102,Scheuer #14,Pato Basquete,32,23.94,1.16,0.19,1.16
103,Antonio #11,KTO/Caxias do Sul,32,30.81,1.16,0.13,1.16
104,Vitão #10,Paulistano,30,25.01,1.13,0.37,1.13
105,Pecos #23,UNIFACISA,33,18.38,1.12,0.15,1.12
106,Pastor #9,UNIFACISA,33,21.27,1.12,0.09,1.12
107,Arthur #4,BRB/Brasília,20,22.87,1.1,0.3,1.1
108,Jimmy #18,Paulistano,33,25.29,1.09,0.12,1.09
109,Cauê #8,Fortaleza B. C.,26,24.07,1.08,0.04,1.08
110,Laster #14,BRB/Brasília,28,28.02,1.07,0.14,1.07
111,Eugeniusz #6,KTO/Caxias do Sul,28,9.55,1.07,0.32,1.07
112,Renan #44,São Paulo,29,23.5,1.07,0.14,1.07
113,Mineiro #12,Flamengo,30,24.38,1.07,0.1,1.07
114,Zubiaurre #31,Pinheiros,24,11.93,1.04,0.08,1.04
115,Olivinha #16,Flamengo,26,21.39,1.04,0.12,1.04
116,Cassiano #5,Mogi,27,10.3,1.04,0.19,1.04
117,Márcio #3,Sesi Franca,30,16.56,1.03,0.13,1.03
118,Lucas Lima #4,Cerrado Basquete,30,20.99,1.03,0.1,1.03
119,Daniel #0,Paulistano,1,3.3,1.0,1.0,1.0
120,Santana #34,Pinheiros,2,18.42,1.0,0.5,1.0
121,Jamison #6,Pinheiros,12,14.14,1.0,0.0,1.0
122,Sena #7,Pinheiros,21,15.12,1.0,0.14,1.0
123,Alex #13,Cerrado Basquete,26,15.25,1.0,0.08,1.0
124,D. Nunes #24,Cerrado Basquete,28,27.44,1.0,0.11,1.0
125,Crescenzi #8,Cerrado Basquete,30,20.33,1.0,0.07,1.0
126,Du Sommer #17,Paulistano,13,24.7,0.92,0.15,0.92
127,Siewert #25,Corinthians,26,25.61,0.92,0.12,0.92
128,Queiros #3,Minas,32,16.34,0.91,0.22,0.91
129,Felipe #33,Fortaleza B. C.,20,27.35,0.9,0.1,0.9
130,Danilo #17,BRB/Brasília,19,10.22,0.89,0.21,0.89
131,D. Souza #12,Pinheiros,9,12.87,0.89,0.11,0.89
132,Fabricio #10,Mogi,35,26.16,0.89,0.09,0.89
133,Kurtz #34,Mogi,32,9.6,0.88,0.13,0.88
134,Dawkins #10,São Paulo,30,17.7,0.87,0.13,0.87
135,Von Haydin #30,Cerrado Basquete,29,17.51,0.86,0.17,0.86
136,Servelin #3,Pato Basquete,29,19.62,0.86,0.14,0.86
137,Ambrosino #35,Cerrado Basquete,28,13.85,0.86,0.29,0.86
138,Mogi #19,Mogi,28,17.42,0.86,0.14,0.86
139,Rafa #16,UNIFACISA,33,20.01,0.85,0.21,0.85
140,W. Sena #21,Pinheiros,26,14.21,0.85,0.08,0.85
141,Leonardo #21,UNIFACISA,12,13.88,0.83,0.0,0.83
142,Dikembe #20,Bauru,35,13.64,0.83,0.14,0.83
143,L. Brito #6,VipTech CMB,11,6.3,0.82,0.0,0.82
144,David Jackson #32,Minas,27,28.77,0.81,0.04,0.81
145,Alex #10,Fortaleza B. C.,26,18.78,0.77,0.12,0.77
146,Rafa Moreira #9,Minas,28,14.85,0.75,0.11,0.75
147,M. Pajé #25,VipTech CMB,30,22.68,0.73,0.0,0.73
148,Gabriel #12,Pato Basquete,11,12.91,0.73,0.0,0.73
149,Larry Taylor #4,Bauru,35,22.94,0.71,0.09,0.71
150,Martinez #25,Flamengo,17,19.08,0.71,0.06,0.71
151,Magna #19,VipTech CMB,30,14.03,0.7,0.03,0.7
152,Adyel #4,Sesi Franca,32,10.71,0.69,0.06,0.69
153,Aquiles #20,Pato Basquete,31,13.18,0.68,0.06,0.68
154,Hubner #77,Sesi Franca,35,18.22,0.66,0.03,0.66
155,Castellon #8,VipTech CMB,29,19.6,0.66,0.1,0.66
156,Pezão #21,VipTech CMB,20,10.81,0.65,0.0,0.65
157,Lobo #9,Fortaleza B. C.,16,5.26,0.63,0.13,0.63
158,Jhonatan #7,Flamengo,29,17.94,0.62,0.03,0.62
159,Schneider #18,Fortaleza B. C.,23,16.22,0.61,0.17,0.61
160,Gabriel #8,BRB/Brasília,23,9.47,0.61,0.0,0.61
161,Tom #40,VipTech CMB,28,11.19,0.61,0.07,0.61
162,Vezaro #10,UNIFACISA,33,18.98,0.61,0.09,0.61
163,Barbosa #32,Paulistano,29,17.2,0.59,0.28,0.59
164,Munford #14,Pinheiros,26,24.06,0.58,0.0,0.58
165,Ribeiro #12,Minas,7,4.4,0.57,0.0,0.57
166,R. Stabile #17,KTO/Caxias do Sul,29,7.54,0.55,0.03,0.55
167,Doria #7,Paulistano,33,14.02,0.55,0.15,0.55
168,Rodrigues #16,Pato Basquete,30,9.05,0.53,0.07,0.53
169,Pedro Nunes #24,Flamengo,29,14.53,0.52,0.1,0.52
170,Ziggy #14,Mogi,2,4.38,0.5,0.0,0.5
171,Pedro Silva #6,Mogi,4,2.2,0.5,0.0,0.5
172,Cristhyã #41,Flamengo,4,2.33,0.5,0.25,0.5
173,João Pedro #16,Bauru,6,6.54,0.5,0.17,0.5
174,T. Faria #1,Pinheiros,6,15.14,0.5,0.17,0.5
175,Demétrio #71,Flamengo,30,19.76,0.5,0.13,0.5
176,Vezarinho #10,Corinthians,27,9.04,0.48,0.11,0.48
177,Alexei Patrício #3,Bauru,25,7.03,0.48,0.08,0.48
178,M. Douglas #13,Pinheiros,26,10.06,0.46,0.08,0.46
179,Jonatan #50,Paulistano,11,6.46,0.45,0.0,0.45
180,Edu Marília #11,Sesi Franca,25,5.57,0.44,0.08,0.44
181,Gemadinha #35,UNIFACISA,26,8.0,0.42,0.0,0.42
182,Alexandrino #13,UNIFACISA,19,12.32,0.42,0.21,0.42
183,Maciel #34,Flamengo,12,5.28,0.42,0.08,0.42
184,R. Rachel #20,Flamengo,22,7.75,0.41,0.14,0.41
185,Gerson #1,São Paulo,25,13.44,0.4,0.04,0.4
186,Felipe #16,Mogi,18,3.47,0.39,0.11,0.39
187,Derick #8,Pato Basquete,24,6.23,0.38,0.13,0.38
188,Gui Abreu #33,Sesi Franca,30,18.88,0.37,0.07,0.37
189,Léo Abreu #13,Sesi Franca,3,1.09,0.33,0.0,0.33
190,D. Penteado #12,São Paulo,15,8.11,0.33,0.07,0.33
191,Luis #9,Cerrado Basquete,18,7.99,0.33,0.06,0.33
192,Beto #5,Paulistano,24,3.91,0.33,0.08,0.33
193,Dalaqua #8,Corinthians,19,7.89,0.32,0.0,0.32
194,Rapha #1,VipTech CMB,13,2.4,0.31,0.0,0.31
195,Emanuel Matias #11,Bauru,11,3.57,0.27,0.09,0.27
196,Igor #20,São Paulo,15,7.77,0.27,0.07,0.27
197,Varejão #50,VipTech CMB,4,1.74,0.25,0.0,0.25
198,L. Muller #10,VipTech CMB,4,8.66,0.25,0.0,0.25
199,Murilo #5,Pato Basquete,4,4.33,0.25,0.0,0.25
200,Ludwig #14,Corinthians,8,2.44,0.25,0.0,0.25
201,Rafael #12,Paulistano,8,2.68,0.25,0.13,0.25
202,Lassance #24,Fortaleza B. C.,16,8.62,0.25,0.06,0.25
203,Isaac #7,São Paulo,24,16.3,0.25,0.08,0.25
204,Lukas Josuel #12,Bauru,5,1.91,0.2,0.0,0.2
205,Colina #8,Mogi,10,4.67,0.2,0.0,0.2
206,Felipe #11,BRB/Brasília,15,3.77,0.2,0.07,0.2
207,Djalo #35,Corinthians,11,5.29,0.18,0.0,0.18
208,Kirsten #11,Pato Basquete,11,6.57,0.18,0.09,0.18
209,Nathan #43,Sesi Franca,6,3.2,0.17,0.0,0.17
210,Dida #41,KTO/Caxias do Sul,7,4.91,0.14,0.0,0.14
211,Ianguas #20,Paulistano,22,6.36,0.09,0.0,0.09
212,Buiú #14,Paulistano,12,3.08,0.08,0.0,0.08
213,P. Costa #1,BRB/Brasília,1,1.12,0.0,0.0,0.0
214,C. Gonçalves #21,São Paulo,1,0.13,0.0,0.0,0.0
215,Du Klafke #14,Sesi Franca,1,1.53,0.0,0.0,0.0
216,Reynan #29,Sesi Franca,1,0.28,0.0,0.0,0.0
217,P. Barros #21,BRB/Brasília,1,1.12,0.0,0.0,0.0
218,Vinícius #3,Paulistano,2,2.87,0.0,0.0,0.0
219,Cestari #22,Corinthians,2,0.55,0.0,0.0,0.0
220,Rubinho #15,KTO/Caxias do Sul,2,1.2,0.0,0.0,0.0
221,J V Vieira #90,Cerrado Basquete,2,1.33,0.0,0.0,0.0
222,Victorino #21,Paulistano,2,1.65,0.0,0.0,0.0
223,Duarte #17,Cerrado Basquete,2,3.35,0.0,0.0,0.0
224,Wander Broock #26,VipTech CMB,3,1.04,0.0,0.0,0.0
225,Cadu #10,BRB/Brasília,3,0.96,0.0,0.0,0.0
226,Victor #3,Corinthians,3,1.02,0.0,0.0,0.0
227,Elvis F. #17,Pinheiros,3,1.04,0.0,0.0,0.0
228,Marco #10,KTO/Caxias do Sul,3,0.27,0.0,0.0,0.0
229,André #23,Paulistano,3,3.84,0.0,0.0,0.0
230,Vitor #7,Sesi Franca,7,2.08,0.0,0.0,0.0
231,Ruan #9,Flamengo,9,5.69,0.0,0.0,0.0
232,Augusto #46,Minas,9,3.29,0.0,0.0,0.0
233,Dias #31,Minas,10,4.42,0.0,0.0,0.0
234,Gabriel #7,Fortaleza B. C.,16,5.57,0.0,0.0,0.0
