pos,jogador,equipe,jo,min,ef,pts,rt,as,br,to,dd,td
1,Georginho #14,São Paulo,26,37.89,24.08,15.46,8.73,7.46,1.31,0.81,0.5,0.19
2,Felipe #33,Fortaleza B. C.,8,30.46,15.88,14.75,8.25,1.25,0.88,0.63,0.38,0.0
3,Scott #22,Minas,26,27.14,19.96,14.31,7.81,2.15,0.85,0.81,0.31,0.0
4,Dikembe #20,Paulistano,25,23.48,13.64,10.28,7.8,0.76,0.6,0.32,0.28,0.0
5,Massey #5,Bauru,11,29.6,16.18,12.64,8.0,1.91,1.91,0.45,0.27,0.0
6,Léo Meindl #23,São Paulo,26,33.45,18.62,17.88,7.19,3.27,1.19,0.15,0.23,0.0
7,João Vitor #0,UNIFACISA,27,18.9,14.67,10.22,6.96,0.63,0.48,1.48,0.19,0.0
8,Paranhos #24,Mogi,23,22.4,11.43,9.96,7.26,0.48,0.7,0.43,0.17,0.0
9,Nehemias #7,São José,13,30.31,18.31,20.08,5.46,3.0,1.15,0.0,0.15,0.0
10,Gerson #1,Rio Claro,26,27.86,16.15,13.35,6.27,1.38,0.65,0.15,0.15,0.0
11,Olivinha #16,Flamengo,22,22.46,13.23,11.27,6.27,1.05,0.95,0.18,0.14,0.0
12,Renato #15,Bauru,23,27.51,11.7,10.65,5.57,1.52,0.78,0.04,0.13,0.0
13,Pepo Vidal #4,UNIFACISA,23,27.38,13.78,6.26,4.3,7.61,2.04,0.0,0.13,0.0
14,Ronald #6,Brasília,25,29.25,12.56,11.64,7.4,1.16,0.52,0.84,0.12,0.0
15,Nezinho #23,Brasília,25,31.27,12.28,12.88,3.28,6.84,1.4,0.08,0.12,0.0
16,Ansaloni #10,Rio Claro,26,20.43,10.35,9.46,5.81,1.15,0.35,0.31,0.12,0.0
17,D. Nunes #24,UNIFACISA,27,27.05,14.81,11.41,6.26,2.11,0.67,0.56,0.11,0.0
18,Sahdi #32,Rio Claro,22,26.04,14.45,11.82,2.36,6.36,0.77,0.0,0.09,0.0
19,Leandrinho #19,Minas,22,31.93,20.36,20.09,4.23,4.91,1.32,0.18,0.09,0.0
20,Fúlvio #2,Mogi,22,30.25,14.95,13.09,3.5,6.14,0.82,0.0,0.09,0.0
21,Gemerson #6,UNIFACISA,23,21.19,9.7,8.65,5.35,1.13,0.57,0.04,0.09,0.0
22,Sualisson #14,Fortaleza B. C.,23,25.72,11.09,9.04,5.78,0.83,1.22,0.91,0.09,0.0
23,Toledo #13,Pinheiros,24,25.29,11.29,9.17,5.13,1.67,1.25,0.21,0.08,0.0
24,Solano #1,Paulistano,25,30.87,15.72,13.92,5.28,5.48,1.64,0.28,0.08,0.04
25,Figueredo #9,São José,25,31.64,14.08,13.08,2.96,5.52,0.92,0.0,0.08,0.0
26,Funches III #1,Pato Basquete,25,23.59,10.16,8.04,5.64,0.88,0.72,0.92,0.08,0.0
27,Pastor #9,Rio Claro,26,22.82,10.81,8.27,4.81,1.19,0.58,0.15,0.08,0.0
28,Gabriel Jaú #25,Bauru,26,20.83,7.5,7.23,4.96,1.19,0.69,0.31,0.08,0.0
29,Nesbitt #25,Corinthians,26,26.43,15.92,12.46,6.46,1.73,1.0,0.31,0.08,0.0
30,L. Cauê #23,Pinheiros,27,14.68,7.11,5.96,3.89,0.67,0.37,0.56,0.07,0.0
31,Vargas #33,Flamengo,14,15.84,8.64,7.43,4.79,0.43,0.5,0.5,0.07,0.0
32,Teichmann #11,Corinthians,15,15.0,10.4,4.4,4.07,1.6,1.53,0.67,0.07,0.0
33,Figueroa #22,Rio Claro,16,23.72,9.69,6.0,2.5,4.88,0.63,0.0,0.06,0.0
34,Gui Santos #3,Brasília,17,25.84,9.88,11.0,4.24,1.47,0.82,0.12,0.06,0.0
35,Cauê #8,Botafogo,19,31.95,12.11,9.63,4.26,3.74,1.05,0.11,0.05,0.0
36,Kurtz #34,São Paulo,21,11.62,5.33,4.43,2.81,0.38,0.1,0.1,0.05,0.0
37,Du Sommer #17,Botafogo,22,23.03,8.09,6.91,3.82,1.09,0.73,0.5,0.05,0.0
38,Hettsheimeir #30,Sesi Franca,23,24.81,12.78,13.52,5.13,1.26,0.48,0.39,0.04,0.0
39,Tyrone Curnell #0,Minas,23,27.86,10.83,10.43,4.83,1.57,0.96,0.48,0.04,0.0
40,Marquinhos #11,Flamengo,23,28.26,16.48,17.26,4.43,2.96,0.96,0.22,0.04,0.0
41,Wiggins #7,Bauru,23,31.29,13.43,16.26,4.87,1.52,0.83,0.3,0.04,0.0
42,Balbi #6,Flamengo,24,28.58,13.5,8.29,3.88,7.38,1.5,0.08,0.04,0.0
43,Arthur #36,Botafogo,24,25.53,10.58,11.21,4.38,1.63,0.54,0.21,0.04,0.0
44,Lucas Dias #9,Sesi Franca,25,31.62,16.24,15.48,5.24,2.2,0.88,0.72,0.04,0.0
45,Renan #44,São Paulo,25,30.26,16.28,12.32,5.72,1.44,0.64,1.16,0.04,0.0
46,Rafa #16,São José,25,28.19,17.88,16.24,5.12,1.8,1.08,0.08,0.04,0.0
47,Maique #35,Paulistano,25,19.66,11.4,7.68,5.16,0.56,0.4,0.64,0.04,0.0
48,Elinho #5,Sesi Franca,25,26.79,10.48,5.96,3.56,5.12,1.04,0.08,0.04,0.0
49,Gegê #19,Pato Basquete,25,29.17,12.96,7.0,3.48,7.12,2.24,0.0,0.04,0.0
50,André Goes #40,Mogi,26,33.24,16.81,14.62,5.88,3.69,1.92,0.19,0.04,0.0
51,Shamell #8,São Paulo,26,37.16,17.15,18.81,3.54,3.81,0.88,0.04,0.04,0.0
52,Alex Garcia #10,Minas,26,32.04,17.15,16.27,5.35,4.54,1.38,0.19,0.04,0.0
53,Mathias #12,Fortaleza B. C.,26,16.68,6.42,4.19,4.35,0.5,0.38,0.35,0.04,0.0
54,Faggiano #3,Bauru,26,33.83,16.27,14.31,2.85,5.46,1.81,0.08,0.04,0.0
55,Rafa Moreira #9,Brasília,26,27.66,10.04,11.69,3.58,1.0,0.58,0.04,0.04,0.0
56,Betinho #26,Pinheiros,27,27.73,14.85,16.07,3.67,3.48,0.93,0.19,0.04,0.0
57,Duda #10,São José,27,25.34,10.37,9.96,3.19,3.78,1.11,0.19,0.04,0.0
58,Barnes #34,UNIFACISA,27,29.95,13.26,16.52,2.11,4.15,0.67,0.07,0.04,0.0
59,Dalaqua #8,Corinthians,1,1.48,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
60,Sanchez #18,Rio Claro,1,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Djalo #35,Corinthians,1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Sanches #34,Mogi,1,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Prochnow #0,Rio Claro,1,1.35,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
64,Guirro #11,São José,1,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Mattos #29,Mogi,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Andrew #27,Bauru,1,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,R. Piru #10,UNIFACISA,1,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Mãozinha #5,Pinheiros,1,5.93,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
69,Honorato #6,Corinthians,1,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Dhomini #13,Rio Claro,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Mamedes #42,São Paulo,2,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Felipe #11,Brasília,2,3.17,-2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
73,Holloway #1,São Paulo,2,10.49,10.0,7.5,2.5,2.5,0.0,0.0,0.0,0.0
74,Daniel #2,São José,2,1.11,1.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0
75,Augusto #46,Sesi Franca,2,1.18,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
76,Beto #5,Paulistano,2,7.15,-0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
77,Augusto #77,Rio Claro,2,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Von Haydin #30,Corinthians,2,1.33,-0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
79,Marcos #35,Minas,2,0.77,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
80,Dias #31,Minas,3,1.0,-0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Veloso #13,Brasília,3,1.36,-0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Ruan #9,Flamengo,3,7.08,4.67,3.33,2.33,0.67,0.67,0.0,0.0,0.0
83,R. Rachel #20,Flamengo,3,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,D. Souza #12,Pinheiros,3,1.18,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0
85,Bruninho #9,Fortaleza B. C.,3,1.29,-0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Elvis F. #17,Pinheiros,3,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Maciel #34,Flamengo,3,1.26,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0
88,J. Gabriel #23,Fortaleza B. C.,4,1.13,-0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0
89,Buiú #14,Paulistano,4,0.65,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Matheusinho #9,Flamengo,4,3.84,1.5,1.0,0.5,1.0,0.0,0.0,0.0,0.0
91,Suassuna #20,Brasília,4,2.42,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Pitico #2,Minas,4,7.7,0.25,1.0,0.25,0.5,0.25,0.0,0.0,0.0
93,Gui Santos #11,Minas,4,3.55,0.75,1.5,0.25,0.25,0.25,0.0,0.0,0.0
94,Edu Marília #11,Sesi Franca,4,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Cobb #21,Minas,4,19.53,2.5,2.75,2.5,1.5,0.75,0.0,0.0,0.0
96,Jefferson #0,Rio Claro,5,15.08,4.2,4.8,1.0,2.4,0.8,0.0,0.0,0.0
97,Nicolas Ronsini #3,UNIFACISA,5,7.9,2.2,2.2,0.6,1.0,0.2,0.0,0.0,0.0
98,Lucious #11,Rio Claro,5,23.88,10.0,12.6,1.6,2.2,1.4,0.0,0.0,0.0
99,Felipe #16,Mogi,6,2.7,0.83,0.83,0.17,0.17,0.0,0.17,0.0,0.0
100,W. Sena #21,Botafogo,6,2.84,0.67,0.67,0.5,0.0,0.33,0.17,0.0,0.0
101,Igor #20,São Paulo,6,1.98,1.67,1.67,0.67,0.5,0.33,0.0,0.0,0.0
102,Gabriel #2,Pinheiros,6,1.54,0.33,0.83,0.0,0.0,0.0,0.0,0.0,0.0
103,João Pedro #16,Mogi,6,12.58,4.83,4.0,2.67,0.33,0.17,0.33,0.0,0.0
104,Alexey Borges #8,Mogi,7,28.46,16.57,14.57,4.14,5.14,1.43,0.0,0.0,0.0
105,Smith #2,Pato Basquete,8,23.3,1.5,5.75,3.38,1.38,0.13,0.13,0.0,0.0
106,Abner #33,São José,8,4.31,-0.25,0.0,0.5,0.0,0.13,0.0,0.0,0.0
107,Bruno #4,Rio Claro,9,4.11,0.0,0.67,0.22,0.11,0.0,0.0,0.0,0.0
108,Isaac #7,Pinheiros,9,20.11,8.56,8.11,2.56,0.78,0.67,0.0,0.0,0.0
109,Barrera #55,Flamengo,9,12.37,3.89,2.78,1.11,2.0,0.44,0.11,0.0,0.0
110,Murilo #5,Pato Basquete,9,6.45,-0.11,0.22,0.89,1.11,0.11,0.0,0.0,0.0
111,José Carlos #35,Brasília,9,6.37,0.78,1.44,1.11,0.11,0.11,0.11,0.0,0.0
112,Mendes #30,Bauru,9,7.54,2.33,1.78,1.89,0.11,0.0,0.0,0.0,0.0
113,Kevin Foster #3,Paulistano,9,9.9,3.89,4.33,2.78,0.33,0.11,0.22,0.0,0.0
114,Pedro #9,Brasília,9,21.51,5.11,5.22,2.11,1.67,0.56,0.11,0.0,0.0
115,Spencer #1,UNIFACISA,10,14.54,2.3,4.0,1.3,0.8,0.4,0.0,0.0,0.0
116,Phillips #9,Pato Basquete,10,19.7,6.9,8.8,1.7,2.2,1.1,0.0,0.0,0.0
117,Jean #5,Sesi Franca,10,2.37,0.2,0.5,0.3,0.2,0.1,0.0,0.0,0.0
118,Rafael #12,Paulistano,10,1.71,1.0,0.8,0.3,0.0,0.1,0.0,0.0,0.0
119,Buemo #8,São José,10,9.7,2.4,2.2,1.1,1.0,0.1,0.0,0.0,0.0
120,Lelê #34,Rio Claro,10,2.44,0.9,0.6,0.2,0.0,0.2,0.0,0.0,0.0
121,Larry Taylor #4,Bauru,11,23.72,9.0,9.18,3.36,1.91,1.09,0.0,0.0,0.0
122,Adyel #4,Sesi Franca,11,2.03,0.64,0.55,0.36,0.36,0.18,0.09,0.0,0.0
123,D. Penteado #12,São Paulo,12,3.13,0.75,1.17,0.25,0.17,0.08,0.0,0.0,0.0
124,I. Thornton #0,Pato Basquete,12,29.66,12.0,14.08,4.25,1.75,0.58,0.0,0.0,0.0
125,Dixson #25,UNIFACISA,13,18.85,7.54,8.31,2.46,0.15,1.0,0.31,0.0,0.0
126,Emanuel Matias #11,Bauru,13,5.41,1.77,1.08,0.69,0.31,0.15,0.08,0.0,0.0
127,Draper #10,Bauru,13,26.39,14.15,15.38,4.54,0.77,1.0,0.46,0.0,0.0
128,Cipolini #15,Sesi Franca,13,17.29,9.23,8.15,3.38,0.92,0.38,0.54,0.0,0.0
129,Gruber #20,Mogi,14,30.8,14.5,16.14,4.86,1.5,1.29,1.36,0.0,0.0
130,Pezão #21,UNIFACISA,14,4.21,1.93,1.14,1.29,0.14,0.07,0.0,0.0,0.0
131,Aquiles #20,Pato Basquete,16,5.7,1.5,1.63,0.94,0.19,0.25,0.06,0.0,0.0
132,Gabriel #8,Brasília,16,5.7,0.81,1.25,0.56,0.31,0.38,0.0,0.0,0.0
133,Malachias #13,Bauru,16,7.4,2.06,1.44,1.44,0.25,0.31,0.19,0.0,0.0
134,Jonatan #50,Paulistano,16,4.12,0.88,1.31,0.13,0.06,0.0,0.0,0.0,0.0
135,Márcio #3,Sesi Franca,16,3.65,1.56,1.44,0.81,0.13,0.0,0.06,0.0,0.0
136,Queiros #3,Minas,17,4.78,1.24,1.53,0.76,0.06,0.0,0.0,0.0,0.0
137,Hubner #77,Sesi Franca,17,14.61,8.47,6.53,4.06,0.71,0.35,0.41,0.0,0.0
138,Thiaguinho #2,Rio Claro,17,7.15,2.0,1.65,0.76,0.41,0.24,0.0,0.0,0.0
139,Lucas #10,Mogi,17,12.89,4.59,5.41,1.12,1.18,0.35,0.06,0.0,0.0
140,Leandro #6,Pato Basquete,18,8.92,2.06,1.72,1.5,0.72,0.22,0.0,0.0,0.0
141,Marcelão #5,Brasília,18,7.61,4.11,3.06,2.33,0.17,0.06,0.06,0.0,0.0
142,Jackson #13,Botafogo,18,1.43,-0.06,0.11,0.06,0.06,0.11,0.0,0.0,0.0
143,Gui Abreu #33,Sesi Franca,19,6.69,3.0,2.68,0.89,0.16,0.11,0.11,0.0,0.0
144,Guga #0,São José,19,7.41,1.32,1.68,0.37,0.53,0.26,0.0,0.0,0.0
145,Jackson Jr #8,Minas,19,12.17,2.95,4.68,1.32,0.42,0.32,0.11,0.0,0.0
146,Colina #8,Mogi,20,3.11,1.35,1.25,0.4,0.15,0.0,0.0,0.0,0.0
147,Coelho #10,Botafogo,20,30.08,13.6,11.7,3.05,4.65,1.3,0.05,0.0,0.0
148,Parodi #21,Sesi Franca,20,22.53,13.1,10.5,3.05,4.0,1.1,0.1,0.0,0.0
149,Humberto #19,Corinthians,20,20.5,6.2,5.4,3.05,1.4,0.75,0.1,0.0,0.0
150,Pedro Nunes #1,Flamengo,21,6.98,1.48,1.33,1.14,0.29,0.19,0.0,0.0,0.0
151,Cassiano #5,São Paulo,21,4.12,0.43,1.0,0.62,0.1,0.05,0.0,0.0,0.0
152,Murilo #21,São Paulo,21,14.54,6.29,5.67,3.33,0.71,0.24,0.29,0.0,0.0
153,Coimbra #44,Pato Basquete,21,16.69,6.1,5.05,3.71,0.62,0.48,0.19,0.0,0.0
154,Freddie #35,Botafogo,22,14.88,6.73,5.09,3.59,0.68,0.59,0.27,0.0,0.0
155,Shilton #66,Minas,22,16.66,6.68,4.73,3.95,0.41,0.36,0.05,0.0,0.0
156,Ruivo #4,Paulistano,22,17.42,5.86,4.41,1.91,2.68,0.45,0.0,0.0,0.0
157,Gui Bento #77,Brasília,22,10.83,1.77,2.73,0.95,0.32,0.45,0.09,0.0,0.0
158,Jhonatan #7,Flamengo,22,18.25,5.32,5.05,2.05,0.95,0.55,0.0,0.0,0.0
159,Barbosa #32,Paulistano,22,4.49,0.86,0.77,0.91,0.27,0.05,0.0,0.0,0.0
160,Black #7,Flamengo,23,7.77,3.3,3.52,1.83,0.22,0.13,0.09,0.0,0.0
161,Fabricio #10,Mogi,23,29.74,10.74,8.61,4.96,1.22,0.87,0.13,0.0,0.0
162,Jamaal #5,Botafogo,23,30.87,13.96,13.78,3.04,4.74,0.65,0.09,0.0,0.0
163,Gabriel #7,Fortaleza B. C.,23,6.45,1.39,1.57,0.35,0.26,0.35,0.0,0.0,0.0
164,Coleman #9,Paulistano,23,24.3,8.22,11.0,3.0,0.91,0.61,0.04,0.0,0.0
165,Vinicius #11,Fortaleza B. C.,23,24.25,9.87,9.7,4.39,1.3,0.26,0.61,0.0,0.0
166,Arthur #4,Brasília,23,28.36,14.04,14.48,3.87,1.57,0.87,0.17,0.0,0.0
167,Davi #5,Minas,23,27.85,9.13,7.87,2.43,2.83,0.87,0.0,0.0,0.0
168,Jones #2,São Paulo,23,11.91,3.83,3.74,1.57,0.74,0.22,0.13,0.0,0.0
169,Miller #33,UNIFACISA,23,23.87,9.87,10.3,3.09,1.48,0.52,0.13,0.0,0.0
170,Zach Graham #32,Flamengo,24,23.86,10.63,10.88,2.33,1.25,0.83,0.17,0.0,0.0
171,Dawkins #10,Pinheiros,24,29.21,10.5,10.0,3.63,3.63,1.38,0.04,0.0,0.0
172,Mogi #3,Botafogo,24,18.44,6.13,4.42,3.5,0.75,0.54,0.29,0.0,0.0
173,Alex #13,Mogi,24,8.74,2.0,1.67,1.38,0.25,0.38,0.25,0.0,0.0
174,Enzo #30,Rio Claro,24,29.42,12.63,13.42,2.88,2.29,1.04,0.17,0.0,0.0
175,Schattmann #20,Sesi Franca,24,19.45,9.33,9.5,2.58,1.5,0.46,0.0,0.0,0.0
176,Fuzaro #6,Mogi,24,34.49,17.08,17.88,4.33,2.33,1.13,0.5,0.0,0.0
177,Fischer #1,Corinthians,24,25.05,14.29,14.58,2.5,4.63,0.63,0.13,0.0,0.0
178,Mineiro #12,Flamengo,24,23.47,10.33,9.33,4.04,1.29,0.58,0.21,0.0,0.0
179,Armani #5,Fortaleza B. C.,24,2.63,0.21,0.54,0.54,0.13,0.04,0.0,0.0,0.0
180,Rashaun #17,Fortaleza B. C.,24,28.4,10.79,12.46,3.29,1.92,1.0,0.0,0.0,0.0
181,Deryk #9,Flamengo,24,18.51,6.46,6.13,1.21,2.71,0.96,0.04,0.0,0.0
182,Gabriel #12,UNIFACISA,24,15.25,3.92,5.67,1.29,0.46,0.42,0.08,0.0,0.0
183,G. Basílio #10,Pato Basquete,24,29.69,11.42,13.25,3.08,2.17,0.79,0.0,0.0,0.0
184,Demétrio #71,Flamengo,24,19.47,11.04,10.38,4.71,0.71,0.33,0.58,0.0,0.0
185,Alex #10,Fortaleza B. C.,24,27.48,6.29,10.33,2.92,1.25,0.42,0.04,0.0,0.0
186,Gui Deodato #1,Minas,24,24.96,11.08,10.25,3.92,1.5,1.25,0.17,0.0,0.0
187,Pedro Teruel #12,Rio Claro,24,18.21,5.29,6.63,1.67,1.63,0.21,0.0,0.0,0.0
188,Lucão #31,Rio Claro,25,10.73,3.72,3.12,2.36,0.32,0.16,0.12,0.0,0.0
189,Johnson #32,Corinthians,25,12.74,5.92,4.8,3.64,0.56,0.48,0.4,0.0,0.0
190,David Jackson #32,Sesi Franca,25,31.86,19.88,17.12,4.56,3.16,1.0,0.48,0.0,0.0
191,Scheuer #14,Pato Basquete,25,13.6,3.64,3.64,1.92,0.48,0.28,0.08,0.0,0.0
192,Vitão #10,Paulistano,25,23.15,9.04,9.0,3.76,1.0,0.44,0.24,0.0,0.0
193,Yago #2,Paulistano,25,31.78,15.84,16.04,3.0,5.44,1.08,0.04,0.0,0.0
194,Eugeniusz #6,São José,25,9.09,3.52,3.72,1.32,1.08,0.68,0.0,0.0,0.0
195,Jefferson #11,São Paulo,25,27.6,11.16,11.2,6.08,1.48,0.6,0.32,0.0,0.0
196,Davis #20,Fortaleza B. C.,25,23.5,8.0,9.72,2.16,1.12,0.84,0.08,0.0,0.0
197,Jimmy #18,Sesi Franca,25,24.51,7.96,6.92,3.04,1.6,0.68,0.0,0.0,0.0
198,Eddy #33,Paulistano,25,23.84,6.96,7.36,3.44,1.16,0.52,0.16,0.0,0.0
199,Paulinho #9,Botafogo,25,12.63,2.8,4.72,1.12,1.52,0.24,0.0,0.0,0.0
200,Rodrigues #16,Pato Basquete,25,12.78,5.24,4.52,2.92,0.24,0.44,0.28,0.0,0.0
201,Augusto #55,Pato Basquete,25,15.9,5.36,7.36,1.6,1.68,0.52,0.08,0.0,0.0
202,Paulo #7,Pato Basquete,25,21.48,6.44,8.96,2.6,1.0,0.64,0.32,0.0,0.0
203,B. Fiorotto #21,Brasília,25,21.03,9.44,7.12,5.52,1.56,1.0,0.36,0.0,0.0
204,Douglas Santos #0,Corinthians,26,6.43,1.92,2.0,0.85,0.15,0.23,0.15,0.0,0.0
205,Bennett #3,Pinheiros,26,31.61,15.31,14.77,3.08,3.81,1.23,0.04,0.0,0.0
206,Alexei Patrício #3,Minas,26,10.1,2.35,2.31,1.35,0.62,0.19,0.04,0.0,0.0
207,Robinson #31,Corinthians,26,22.52,9.08,8.96,3.12,1.38,0.31,0.23,0.0,0.0
208,Ambrosino #35,São José,26,13.7,7.19,6.65,2.5,0.92,0.23,0.19,0.0,0.0
209,Vezaro #10,Corinthians,26,19.29,8.35,7.19,2.85,1.04,0.58,0.08,0.0,0.0
210,Brito #6,Bauru,26,11.15,3.96,4.5,0.77,0.85,0.62,0.04,0.0,0.0
211,Crescenzi #8,Bauru,26,24.45,8.04,7.58,2.92,1.73,1.12,0.12,0.0,0.0
212,Diego #15,Botafogo,26,14.98,6.0,5.23,2.73,0.62,0.65,0.19,0.0,0.0
213,Lucas Mariano #28,Botafogo,26,25.74,14.27,15.58,4.77,0.88,0.42,0.77,0.0,0.0
214,Antonio #11,UNIFACISA,26,15.06,6.73,5.46,2.5,0.81,0.58,0.15,0.0,0.0
215,Fuller #2,Corinthians,26,26.62,9.46,13.5,1.65,2.54,0.81,0.0,0.0,0.0
216,Pará #20,Bauru,26,15.86,4.46,3.77,2.12,1.0,0.73,0.0,0.0,0.0
217,P. Rava #7,Brasília,26,23.45,7.15,6.35,2.65,2.46,1.04,0.12,0.0,0.0
218,Brite #3,Fortaleza B. C.,26,25.99,13.31,12.73,2.85,3.73,1.92,0.04,0.0,0.0
219,Lessa #32,Mogi,26,13.05,3.23,3.15,1.35,0.65,0.62,0.04,0.0,0.0
220,Cauê #8,Fortaleza B. C.,26,22.07,9.04,6.04,3.69,2.5,0.92,0.27,0.0,0.0
221,Pecos #23,Corinthians,26,18.76,7.31,6.85,2.96,2.85,0.65,0.0,0.0,0.0
222,Baxley #23,Rio Claro,26,24.18,10.15,13.19,2.0,1.46,0.58,0.19,0.0,0.0
223,Wesley #21,Corinthians,26,19.36,7.92,6.62,3.58,1.31,1.31,0.31,0.0,0.0
224,Ware #50,Pinheiros,27,21.38,8.7,7.81,4.19,1.0,0.33,0.19,0.0,0.0
225,Buffat #9,Pinheiros,27,20.08,7.3,5.07,3.11,1.26,0.7,0.19,0.0,0.0
226,L. Eltink #24,São José,27,17.95,6.52,4.41,2.89,1.52,0.81,0.3,0.0,0.0
227,Lupa #18,São José,27,23.54,12.3,9.63,4.37,1.89,0.81,0.3,0.0,0.0
228,Sérgio #1,São José,27,14.05,4.81,4.11,2.89,0.44,0.52,0.7,0.0,0.0
229,Mariani #4,São José,27,26.53,8.56,10.52,2.63,2.41,0.67,0.04,0.0,0.0
230,Gemadinha #35,UNIFACISA,27,17.13,5.37,6.78,1.37,0.96,0.56,0.0,0.0,0.0
231,Scaglia #6,Pinheiros,27,13.05,2.33,2.59,1.11,0.78,0.33,0.07,0.0,0.0
232,Caio Torres #13,Pinheiros,27,19.55,9.56,9.81,4.04,0.89,0.67,0.19,0.0,0.0
